Period,Region,State,Year,Added & Replaced,Colony Loss,Colony loss %,Disease_unformated,Diseases %,Inventory,"Loss, Colony Collapse Disorder",Other causes %,Other Causes_unformatted,Other Pests %,Other pests_unformatted,Percent Colony Loss,Pesticides %,pesticides_unformatted,Renovated - Inventory,Renovated - Inventory Measured In Pct Of Colonies,Renovated - Inventory Pct,Unknown Causes %,Unknown_unformatted,Varroa Mites %,Varroa Mites_unformatted
APR THRU JUN,South,GEORGIA,2017,21000,12500,0.09,1,0.01,130000,,0.065,6.5,0.058,5.8,9,0.066,6.6,31000,,23,0.028,2.8,34.10%,34.1
JAN THRU MAR,West,COLORADO,2021,1000,700,0.04,0,0,3000,3100,0.01,1,0,0,4,0,0,30,,,0.07,7,7.90%,7.9
APR THRU JUN,Midwest,WISCONSIN,2016,17500,5500,0.07,12.8,0.128,18500,,0.149,14.9,0.037,3.7,7,0.126,12.6,3600,,5,0.105,10.5,23.40%,23.4
JUL THRU SEP,West,HAWAII,2021,100,1100,0.05,,,21000,0,0,0,0.19,19,5,0.18,18,520,,2,0.009,0.9,29.60%,29.6
JUL THRU SEP,Midwest,NORTH DAKOTA,2018,23000,59000,0.12,9.6,0.096,455000,,0.109,10.9,0.115,11.5,12,0.104,10.4,14500,,3,0.012,1.2,52.60%,52.6
APR THRU JUN,Northeast,CONNECTICUT,2020,1200,30,0.01,0,0,3900,0,0.001,0.1,0.021,2.1,1,0,0,450,,10,0.006,0.6,14.80%,14.8
JAN THRU MAR,South,TENNESSEE,2018,540,3400,0.34,2.3,0.023,10000,,0.132,13.2,0.204,20.4,34,0.03,3,470,,5,0.197,19.7,29.20%,29.2
APR THRU JUN,West,HAWAII,2017,3000,70,0.01,,,12000,,0.004,0.4,0.037,3.7,1,0,0,920,,8,0,0,88.90%,88.9
JAN THRU MAR,Midwest,WISCONSIN,2015,3100,8000,0.28,2.7,0.027,16500,,0.083,8.3,0.016,1.6,28,0.085,8.5,2500,,9,0.058,5.8,18.80%,18.8
JUL THRU SEP,Midwest,OHIO,2017,1100,1800,0.08,4.7,0.047,23000,,0.117,11.7,0.191,19.1,8,0.067,6.7,1800,,8,0.07,7,51.50%,51.5
OCT THRU DEC,Midwest,MINNESOTA,2015,600,10000,0.1,8.4,0.084,104000,,0.038,3.8,0.087,8.7,10,0.25,25,40,,0,0.089,8.9,43.60%,43.6
APR THRU JUN,Northeast,CONNECTICUT,2022,130,30,0.01,,,4100,0,0.011,1.1,,,1,,,30,,1,,,1.90%,1.9
OCT THRU DEC,Northeast,MASSACHUSETTS,2019,60,1200,0.24,0.8,0.008,5000,410,0.011,1.1,0.002,0.2,24,0,0,130,,3,0.107,10.7,7.60%,7.6
JUL THRU SEP,Northeast,CONNECTICUT,2019,70,200,0.05,2.4,0.024,4400,20,0.039,3.9,0.069,6.9,5,0,0,470,,11,0.005,0.5,24.30%,24.3
JAN THRU MAR,Northeast,MAINE,2020,460,160,0.12,0.7,0.007,1300,60,0.022,2.2,0.012,1.2,12,0,0,,,0,0.03,3,19.60%,19.6
OCT THRU DEC,West,COLORADO,2018,370,3500,0.12,1,0.01,30000,,0.061,6.1,0.059,5.9,12,,,10,,,0.012,1.2,73.20%,73.2
APR THRU JUN,West,IDAHO,2021,40000,19500,0.16,5.4,0.054,86000,3400,0.02,2,0.019,1.9,16,0.099,9.9,19000,,16,0.062,6.2,31.90%,31.9
OCT THRU DEC,West,UTAH,2020,1800,3800,0.13,,,29000,400,0.007,0.7,,,13,0.068,6.8,50,,,0.176,17.6,49.50%,49.5
JUL THRU SEP,West,IDAHO,2021,7000,3500,0.03,2.6,0.026,86000,1000,0.07,7,0.018,1.8,3,0.07,7,3000,,2,0.015,1.5,55.20%,55.2
JAN THRU MAR,Midwest,OHIO,2018,300,4500,0.32,6.5,0.065,12000,,0.158,15.8,0.1,10,32,0.032,3.2,580,,4,0.116,11.6,39.60%,39.6
APR THRU JUN,Northeast,VERMONT,2020,680,200,0.03,0.1,0.001,7000,0,0.011,1.1,0.005,0.5,3,0,0,110,,2,0,0,10.70%,10.7
OCT THRU DEC,West,UTAH,2019,970,4400,0.14,2,0.02,30000,2000,0.002,0.2,0.02,2,14,0.103,10.3,90,,,0.003,0.3,22.10%,22.1
APR THRU JUN,South,MISSISSIPPI,2018,4000,3400,0.07,0,0,50000,,0.035,3.5,0.262,26.2,7,0.002,0.2,7000,,14,0.022,2.2,44.60%,44.6
JUL THRU SEP,South,MARYLAND,2017,1300,1600,0.19,0.7,0.007,8500,,0.051,5.1,0.101,10.1,19,0.016,1.6,600,,7,0.091,9.1,8.80%,8.8
OCT THRU DEC,South,NORTH CAROLINA,2015,510,2200,0.1,0.5,0.005,22000,,0.054,5.4,0.034,3.4,10,0.004,0.4,70,,0,0.034,3.4,9.60%,9.6
OCT THRU DEC,West,UTAH,2021,1500,3200,0.09,0.7,0.007,37000,310,0.02,2,0.007,0.7,9,0.007,0.7,1400,,4,0.047,4.7,4.80%,4.8
APR THRU JUN,Northeast,NEW YORK,2018,11000,2700,0.06,15,0.15,20000,,0.167,16.7,0.2,20,6,0.066,6.6,2400,,6,0.037,3.7,39.60%,39.6
JAN THRU MAR,Midwest,NEBRASKA,2015,120,2600,0.08,0.1,0.001,10000,,0.003,0.3,0.001,0.1,8,0.005,0.5,310,,1,0.03,3,5.90%,5.9
OCT THRU DEC,South,SOUTH CAROLINA,2020,270,2600,0.14,0,0,11500,440,0.027,2.7,0.042,4.2,14,0.013,1.3,210,,1,0.038,3.8,22.90%,22.9
OCT THRU DEC,West,COLORADO,2015,3400,2500,0.1,21.2,0.212,24000,,0.084,8.4,0.244,24.4,10,0.197,19.7,0,,0,0.018,1.8,47.60%,47.6
JAN THRU MAR,South,KENTUCKY,2020,1400,1200,0.11,2,0.02,7000,140,0.076,7.6,0.026,2.6,11,,,120,,1,0.065,6.5,17.40%,17.4
OCT THRU DEC,Midwest,IOWA,2018,630,4200,0.2,8.9,0.089,21000,,0.294,29.4,0.272,27.2,20,0.316,31.6,80,,,0.056,5.6,55.10%,55.1
JAN THRU MAR,West,MONTANA,2017,3100,470,0.01,0,0,18500,,0.06,6,0.151,15.1,1,0.025,2.5,6000,,13,0.001,0.1,34.00%,34
OCT THRU DEC,South,FLORIDA,2020,50000,29000,0.1,10.4,0.104,240000,13500,0.023,2.3,0.217,21.7,10,0.196,19.6,17500,,6,0.075,7.5,45.70%,45.7
JAN THRU MAR,Midwest,OHIO,2020,840,6000,0.29,1.1,0.011,15500,3900,0.03,3,0.036,3.6,29,,,1100,,5,0.134,13.4,17.60%,17.6
JUL THRU SEP,South,FLORIDA,2020,36000,29000,0.13,12.8,0.128,220000,10000,0.079,7.9,0.199,19.9,13,0.148,14.8,31000,,13,0.109,10.9,42.20%,42.2
JUL THRU SEP,West,OREGON,2017,7500,13500,0.13,11.3,0.113,94000,,0.064,6.4,0.106,10.6,13,0.132,13.2,28000,,28,0.018,1.8,54.40%,54.4
APR THRU JUN,Northeast,PENNSYLVANIA,2020,5500,930,0.03,1.4,0.014,24000,120,0.033,3.3,0.026,2.6,3,,,1500,,5,0.013,1.3,26.60%,26.6
OCT THRU DEC,Midwest,ILLINOIS,2020,330,1700,0.13,1.1,0.011,13000,310,0.027,2.7,0.098,9.8,13,0.029,2.9,410,,3,0.069,6.9,26.40%,26.4
OCT THRU DEC,South,WEST VIRGINIA,2015,190,610,0.09,1.3,0.013,7000,,0.082,8.2,0.045,4.5,9,0.03,3,140,,2,0.006,0.6,18.80%,18.8
APR THRU JUN,South,OKLAHOMA,2021,4200,3600,0.21,,,17000,0,0.07,7,0.021,2.1,21,,,190,,1,0.01,1,3.10%,3.1
JUL THRU SEP,West,CALIFORNIA,2015,40000,76000,0.1,12.5,0.125,730000,,0.15,15,0.204,20.4,10,0.196,19.6,93000,,12,0.047,4.7,39.90%,39.9
OCT THRU DEC,South,ARKANSAS,2016,20,2500,0.09,0,0,28000,,0.011,1.1,0.048,4.8,9,0.013,1.3,10,,0,0.033,3.3,21.10%,21.1
OCT THRU DEC,Midwest,OHIO,2020,10,1600,0.08,0.9,0.009,21000,240,0.025,2.5,0.124,12.4,8,0.064,6.4,490,,2,0.017,1.7,42.40%,42.4
JUL THRU SEP,South,KENTUCKY,2020,800,1400,0.12,1.4,0.014,11500,220,0.024,2.4,0.04,4,12,0.016,1.6,510,,4,0.051,5.1,23.30%,23.3
OCT THRU DEC,West,WASHINGTON,2017,2900,4000,0.06,,,66000,,0.004,0.4,0.06,6,6,0.003,0.3,14000,,19,0.002,0.2,21.70%,21.7
JUL THRU SEP,West,MONTANA,2017,3100,18500,0.11,6.9,0.069,154000,,0.191,19.1,0.067,6.7,11,0.022,2.2,23000,,14,0.02,2,42.30%,42.3
JAN THRU MAR,South,OKLAHOMA,2016,4800,3300,0.24,0,0,13500,,0.009,0.9,0.012,1.2,24,0.003,0.3,570,,4,0.21,21,4.90%,4.9
APR THRU JUN,West,ARIZONA,2020,14500,1300,0.05,,,26000,140,0.055,5.5,0,0,5,0.042,4.2,4700,,18,0.006,0.6,22.10%,22.1
JAN THRU MAR,South,GEORGIA,2021,34000,20000,0.17,8.9,0.089,120000,6500,0.041,4.1,0.144,14.4,17,0.015,1.5,14500,,12,0.046,4.6,47.90%,47.9
OCT THRU DEC,Northeast,NEW JERSEY,2018,30,1300,0.08,0.1,0.001,15500,,0.054,5.4,0.032,3.2,8,0,0,80,,1,0.003,0.3,14.00%,14
OCT THRU DEC,Midwest,WISCONSIN,2016,10,7500,0.13,10,0.1,59000,,0.106,10.6,0.122,12.2,13,0.106,10.6,20,,0,0.462,46.2,69.30%,69.3
OCT THRU DEC,Midwest,ILLINOIS,2015,0,690,0.05,0.3,0.003,14000,,0.01,1,0.025,2.5,5,0.009,0.9,30,,0,0.031,3.1,9.40%,9.4
JAN THRU MAR,South,WEST VIRGINIA,2019,20,1300,0.19,1.1,0.011,5000,530,0.05,5,0.032,3.2,19,0.002,0.2,60,,1,0.013,1.3,10.30%,10.3
JUL THRU SEP,Midwest,INDIANA,2016,450,600,0.06,1.2,0.012,9500,,0.025,2.5,0.124,12.4,6,0.006,0.6,550,,6,0.012,1.2,50.40%,50.4
JAN THRU MAR,West,NEW MEXICO,2022,1000,1900,0.24,,,5500,1200,0.005,0.5,,,24,0,0,0,,0,,,48.70%,48.7
APR THRU JUN,Midwest,WISCONSIN,2022,6000,1600,0.03,4.9,0.049,52000,130,0.096,9.6,0.146,14.6,3,0.118,11.8,1300,,2,0.06,6,27.00%,27
APR THRU JUN,South,FLORIDA,2018,49000,56000,0.2,9.6,0.096,250000,,0.101,10.1,0.275,27.5,20,0.155,15.5,68000,,25,0.211,21.1,45.30%,45.3
OCT THRU DEC,South,TENNESSEE,2017,230,1300,0.12,0.2,0.002,8500,,0.075,7.5,0.189,18.9,12,0.02,2,320,,3,0.153,15.3,22.80%,22.8
JUL THRU SEP,Northeast,MASSACHUSETTS,2017,790,760,0.08,0.7,0.007,9000,,0.008,0.8,0.009,0.9,8,0.023,2.3,460,,5,0.001,0.1,82.00%,82
JUL THRU SEP,West,WYOMING,2018,1800,3900,0.11,2.2,0.022,33000,,0.033,3.3,0.028,2.8,11,0.09,9,3900,,11,0.04,4,35.40%,35.4
OCT THRU DEC,South,NORTH CAROLINA,2016,220,5500,0.22,1.8,0.018,25000,,0.125,12.5,0.077,7.7,22,0,0,50,,0,0.013,1.3,24.00%,24
JAN THRU MAR,West,WYOMING,2021,3000,2200,0.15,,,13000,530,0.033,3.3,,,15,0,0,1200,,8,0.079,7.9,8.40%,8.4
JAN THRU MAR,West,MONTANA,2015,1400,2200,0.06,0.6,0.006,8500,,0.023,2.3,0.005,0.5,6,0.008,0.8,1100,,3,0.079,7.9,8.70%,8.7
APR THRU JUN,South,GEORGIA,2018,35000,18000,0.13,13.8,0.138,131000,,0.314,31.4,0.259,25.9,13,0.148,14.8,16000,,12,0.101,10.1,53.00%,53
JAN THRU MAR,West,ARIZONA,2017,2900,6000,0.19,3.8,0.038,31000,,0.065,6.5,0.02,2,19,0.017,1.7,0,,0,0.021,2.1,35.60%,35.6
JUL THRU SEP,Midwest,NORTH DAKOTA,2015,11000,93000,0.19,8.1,0.081,460000,,0.041,4.1,0.155,15.5,19,0.123,12.3,22000,,4,0.037,3.7,33.80%,33.8
APR THRU JUN,West,WASHINGTON,2015,15000,5000,0.04,2.2,0.022,105000,,0.032,3.2,0.002,0.2,4,0.02,2,13000,,10,0.005,0.5,48.70%,48.7
JAN THRU MAR,Midwest,MISSOURI,2022,310,730,0.07,,,7000,160,0.053,5.3,0.086,8.6,7,0.005,0.5,570,,5,0.052,5.2,11.10%,11.1
JAN THRU MAR,South,ALABAMA,2019,800,650,0.12,1.8,0.018,5500,140,0.031,3.1,0.227,22.7,12,0.003,0.3,200,,4,0.09,9,27.20%,27.2
JAN THRU MAR,South,FLORIDA,2017,78000,30000,0.11,1.5,0.015,260000,,0.062,6.2,0.148,14.8,11,0.142,14.2,34000,,13,0.179,17.9,37.60%,37.6
OCT THRU DEC,Midwest,NEBRASKA,2017,80,7500,0.18,4.1,0.041,42000,,0.043,4.3,0.033,3.3,18,0.021,2.1,50,,,0.115,11.5,26.60%,26.6
JUL THRU SEP,Midwest,MINNESOTA,2019,5000,21000,0.16,4,0.04,126000,2400,0.066,6.6,0.082,8.2,16,0.134,13.4,2100,,2,0.021,2.1,54.90%,54.9
APR THRU JUN,Northeast,NEW YORK,2015,11000,1100,0.03,4.5,0.045,24000,,0.033,3.3,0.125,12.5,3,0.044,4.4,1500,,4,0.011,1.1,19.10%,19.1
JAN THRU MAR,West,CALIFORNIA,2022,139000,163000,0.12,3.3,0.033,1020000,14000,0.039,3.9,0.072,7.2,12,0.053,5.3,95000,,7,0.042,4.2,29.70%,29.7
OCT THRU DEC,Northeast,MASSACHUSETTS,2017,120,1100,0.18,6.7,0.067,6000,,0.015,1.5,0.012,1.2,18,0.027,2.7,550,,9,0.003,0.3,13.20%,13.2
JAN THRU MAR,South,TEXAS,2015,82000,26000,0.1,5,0.05,191000,,0.023,2.3,0.122,12.2,10,0.111,11.1,51000,,20,0.062,6.2,21.50%,21.5
APR THRU JUN,Midwest,KANSAS,2015,2800,670,0.1,0.9,0.009,6000,,0.035,3.5,0.024,2.4,10,0.001,0.1,420,,6,0.049,4.9,14.40%,14.4
APR THRU JUN,Northeast,MASSACHUSETTS,2017,1400,140,0.02,12.9,0.129,2500,,0.004,0.4,0.125,12.5,2,0.11,11,490,,6,0.016,1.6,14.80%,14.8
APR THRU JUN,Midwest,ILLINOIS,2016,2200,740,0.08,2,0.02,9000,,0.047,4.7,0.044,4.4,8,0.031,3.1,380,,4,0.021,2.1,11.40%,11.4
APR THRU JUN,South,NORTH CAROLINA,2022,7500,1200,0.04,3.5,0.035,25000,50,,,0.028,2.8,4,0,0,3300,,11,0.01,1,23.90%,23.9
JUL THRU SEP,Northeast,MAINE,2020,700,1500,0.15,0.7,0.007,9500,10,0.046,4.6,0.025,2.5,15,0,0,820,,8,0.062,6.2,65.20%,65.2
JAN THRU MAR,West,CALIFORNIA,2017,137000,195000,0.13,7.5,0.075,1170000,,0.066,6.6,0.126,12.6,13,0.092,9.2,93000,,6,0.063,6.3,37.70%,37.7
JUL THRU SEP,South,TEXAS,2015,5500,16500,0.12,1.3,0.013,76000,,0.047,4.7,0.26,26,12,0.194,19.4,4800,,4,0.052,5.2,30.70%,30.7
APR THRU JUN,South,GEORGIA,2022,27000,25000,0.19,1.4,0.014,132000,4900,0.081,8.1,0.088,8.8,19,0.059,5.9,47000,,35,0.056,5.6,35.00%,35
JAN THRU MAR,South,GEORGIA,2016,36000,15500,0.16,2.1,0.021,100000,,0.032,3.2,0.078,7.8,16,0.214,21.4,3200,,3,0.039,3.9,32.30%,32.3
JAN THRU MAR,South,GEORGIA,2020,41000,14500,0.12,,,115000,8500,,,0.034,3.4,12,,,22000,,18,0.075,7.5,50.90%,50.9
JUL THRU SEP,West,ARIZONA,2016,3200,6000,0.19,0.9,0.009,30000,,0.134,13.4,0.01,1,19,0.135,13.5,2600,,8,0.089,8.9,41.70%,41.7
OCT THRU DEC,Midwest,MICHIGAN,2017,990,11500,0.13,5.3,0.053,88000,,0.015,1.5,0.136,13.6,13,0.236,23.6,1900,,2,0.02,2,53.80%,53.8
JAN THRU MAR,Midwest,ILLINOIS,2022,900,2200,0.19,2,0.02,11500,390,0.054,5.4,0.069,6.9,19,0.043,4.3,140,,1,0.106,10.6,20.10%,20.1
JUL THRU SEP,South,ARKANSAS,2019,170,2100,0.1,6.8,0.068,20000,990,0.069,6.9,0.197,19.7,10,0.505,50.5,680,,3,0.393,39.3,53.20%,53.2
JAN THRU MAR,Midwest,ILLINOIS,2018,1000,2400,0.23,3.6,0.036,10500,,0.104,10.4,0.112,11.2,23,0.035,3.5,630,,6,0.109,10.9,25.70%,25.7
OCT THRU DEC,Midwest,MINNESOTA,2019,3400,15500,0.16,1.2,0.012,97000,1300,0.018,1.8,0.078,7.8,16,0.061,6.1,60,,,0.04,4,37.30%,37.3
JUL THRU SEP,Midwest,NORTH DAKOTA,2017,24000,48000,0.1,3.4,0.034,470000,,0.081,8.1,0.119,11.9,10,0.081,8.1,100000,,20,0.019,1.9,42.00%,42
JAN THRU MAR,West,WASHINGTON,2015,13500,14000,0.13,0.3,0.003,52000,,0.06,6,0.005,0.5,13,0.036,3.6,9000,,9,0.011,1.1,21.50%,21.5
OCT THRU DEC,South,FLORIDA,2021,20000,38000,0.12,5.9,0.059,255000,10500,0.088,8.8,0.19,19,12,0.091,9.1,11000,,4,0.136,13.6,28.90%,28.9
APR THRU JUN,Midwest,MISSOURI,2020,2800,390,0.06,5.7,0.057,6500,200,0.112,11.2,0.015,1.5,6,0.031,3.1,1200,,18,0.019,1.9,17.40%,17.4
JUL THRU SEP,Northeast,MASSACHUSETTS,2016,450,530,0.06,6.8,0.068,9500,,0.034,3.4,0.087,8.7,6,0.001,0.1,40,,0,0.079,7.9,14.10%,14.1
JAN THRU MAR,South,WEST VIRGINIA,2015,570,1800,0.3,2.2,0.022,4700,,0.146,14.6,0.073,7.3,30,0.021,2.1,60,,1,0.061,6.1,18.00%,18
APR THRU JUN,Northeast,VERMONT,2018,2600,520,0.08,0.7,0.007,5500,,0.018,1.8,0.015,1.5,8,0.167,16.7,140,,2,0.001,0.1,21.80%,21.8
JAN THRU MAR,South,MARYLAND,2016,1200,820,0.11,0,0,7500,,0.067,6.7,0.001,0.1,11,0.095,9.5,10,,0,0.007,0.7,26.20%,26.2
JUL THRU SEP,Northeast,PENNSYLVANIA,2021,740,1600,0.06,1,0.01,25000,350,0.042,4.2,0.153,15.3,6,0.026,2.6,980,,4,0.038,3.8,40.50%,40.5
JUL THRU SEP,South,VIRGINIA,2018,1000,610,0.08,2.6,0.026,7500,,0.116,11.6,0.285,28.5,8,0.077,7.7,990,,13,0.017,1.7,39.00%,39
JAN THRU MAR,South,TEXAS,2017,130000,49000,0.14,2,0.02,275000,,0.035,3.5,0.225,22.5,14,0.051,5.1,68000,,20,0.036,3.6,36.20%,36.2
JAN THRU MAR,West,HAWAII,2022,2600,1600,0.08,0,0,21000,0,0.03,3,0.76,76,8,0,0,1000,,5,0,0,76.10%,76.1
JUL THRU SEP,South,MARYLAND,2021,300,490,0.08,,,6000,320,0.007,0.7,0.136,13.6,8,0.005,0.5,170,,3,0.015,1.5,20.00%,20
JUL THRU SEP,Midwest,MICHIGAN,2021,7500,8500,0.07,,,120000,2800,0.027,2.7,0.042,4.2,7,0.17,17,4800,,4,0.008,0.8,63.50%,63.5
JUL THRU SEP,Midwest,MICHIGAN,2015,3300,7000,0.08,7.3,0.073,89000,,0.018,1.8,0.163,16.3,8,0.137,13.7,3800,,4,0.088,8.8,44.60%,44.6
JUL THRU SEP,West,OREGON,2015,8000,8500,0.09,5.2,0.052,68000,,0.048,4.8,0.208,20.8,9,0.031,3.1,21000,,21,0.038,3.8,56.00%,56
JAN THRU MAR,South,GEORGIA,2018,29000,25000,0.18,0.9,0.009,134000,,0.271,27.1,0.187,18.7,18,0.148,14.8,39000,,28,0.021,2.1,39.60%,39.6
JUL THRU SEP,Midwest,SOUTH DAKOTA,2017,6000,16500,0.1,5,0.05,152000,,0.27,27,0.134,13.4,10,0.101,10.1,7500,,5,0.025,2.5,47.40%,47.4
JAN THRU MAR,Northeast,NEW YORK,2020,230,2500,0.07,0,0,29000,940,0.017,1.7,0.029,2.9,7,0,0,370,,1,0.077,7.7,6.60%,6.6
APR THRU JUN,South,LOUISIANA,2015,6500,1800,0.04,0.2,0.002,44000,,0.05,5,0.037,3.7,4,0.011,1.1,8000,,18,0.005,0.5,36.40%,36.4
JAN THRU MAR,South,ALABAMA,2022,1600,1100,0.1,0,0,8000,70,0.108,10.8,0.17,17,10,0.037,3.7,520,,5,0.053,5.3,36.90%,36.9
OCT THRU DEC,Northeast,VERMONT,2019,100,190,0.03,0.6,0.006,7000,0,0.006,0.6,0.013,1.3,3,0.008,0.8,270,,4,0.009,0.9,21.00%,21
JUL THRU SEP,South,ARKANSAS,2016,270,1500,0.05,0.4,0.004,32000,,0.027,2.7,0.09,9,5,0.079,7.9,60,,0,0.003,0.3,80.70%,80.7
JAN THRU MAR,South,NORTH CAROLINA,2021,1900,4000,0.17,,,18000,70,0.006,0.6,0.072,7.2,17,,,110,,,0.005,0.5,23.50%,23.5
OCT THRU DEC,West,HAWAII,2021,1100,100,0.01,19.7,0.197,20000,0,0,0,0.642,64.2,1,0,0,530,,3,0,0,66.10%,66.1
OCT THRU DEC,Northeast,NEW JERSEY,2019,60,220,0.01,0,0,15500,60,0.013,1.3,0.009,0.9,1,0,0,80,,1,0.005,0.5,2.50%,2.5
JUL THRU SEP,Midwest,SOUTH DAKOTA,2015,2100,53000,0.18,2,0.02,295000,,0.019,1.9,0.073,7.3,18,0.071,7.1,13000,,4,0.057,5.7,22.00%,22
OCT THRU DEC,Midwest,MINNESOTA,2021,4900,10500,0.11,0,0,100000,1900,0.006,0.6,,,11,0.034,3.4,350,,,0.014,1.4,8.00%,8
OCT THRU DEC,Midwest,NORTH DAKOTA,2019,3000,27000,0.06,1.8,0.018,420000,1900,0.02,2,0.071,7.1,6,0.037,3.7,4300,,1,0.017,1.7,43.00%,43
JAN THRU MAR,Midwest,WISCONSIN,2022,1400,2800,0.05,,,39000,3200,0.02,2,,,5,0.065,6.5,240,,,0.005,0.5,7.90%,7.9
OCT THRU DEC,Midwest,NORTH DAKOTA,2017,10000,26000,0.06,0.2,0.002,410000,,0.009,0.9,0.165,16.5,6,0.005,0.5,2900,,1,0.003,0.3,41.70%,41.7
JAN THRU MAR,West,NEW MEXICO,2021,170,270,0.05,0,0,3500,10,0.065,6.5,,,5,0,0,0,,0,0.019,1.9,14.20%,14.2
OCT THRU DEC,Midwest,INDIANA,2020,240,930,0.08,,,10000,210,0.024,2.4,0.041,4.1,8,0.019,1.9,260,,2,0.057,5.7,26.30%,26.3
JUL THRU SEP,West,WYOMING,2016,1800,7000,0.18,0.5,0.005,32000,,0.034,3.4,0.031,3.1,18,0.026,2.6,1000,,3,0.003,0.3,38.60%,38.6
OCT THRU DEC,Midwest,INDIANA,2018,40,3300,0.37,23.8,0.238,9000,,0.354,35.4,0.213,21.3,37,0.646,64.6,1200,,13,0.023,2.3,51.30%,51.3
APR THRU JUN,Northeast,MASSACHUSETTS,2021,2000,810,0.07,,,3700,30,,,0.343,34.3,7,0.34,34,310,,3,0,0,45.50%,45.5
JUL THRU SEP,West,HAWAII,2017,430,1100,0.07,0.3,0.003,15000,,0.02,2,0.043,4.3,7,0,0,20,,,,,2.80%,2.8
JAN THRU MAR,South,ARKANSAS,2019,20,6500,0.23,3.3,0.033,28000,320,0.007,0.7,0.015,1.5,23,0.553,55.3,20,,,0.029,2.9,19.50%,19.5
JUL THRU SEP,South,SOUTH CAROLINA,2020,1200,1800,0.13,,,12000,550,0.015,1.5,0.289,28.9,13,0.062,6.2,2200,,16,0.009,0.9,27.10%,27.1
APR THRU JUN,Northeast,NEW YORK,2017,16500,1300,0.03,2.1,0.021,25000,,0.089,8.9,0.021,2.1,3,0.02,2,7500,,17,0.001,0.1,22.20%,22.2
JUL THRU SEP,Northeast,MASSACHUSETTS,2019,800,1100,0.08,0.2,0.002,13500,170,0.007,0.7,0.029,2.9,8,,,560,,4,0.073,7.3,13.00%,13
APR THRU JUN,South,MARYLAND,2017,3400,190,0.02,0.8,0.008,8000,,0.021,2.1,0.069,6.9,2,0.003,0.3,930,,10,0.011,1.1,3.30%,3.3
OCT THRU DEC,West,CALIFORNIA,2015,39000,149000,0.12,6.2,0.062,750000,,0.105,10.5,0.127,12.7,12,0.117,11.7,75000,,6,0.073,7.3,37.30%,37.3
JUL THRU SEP,South,ARKANSAS,2020,1500,1700,0.08,3.9,0.039,19000,900,0.013,1.3,0.156,15.6,8,0.139,13.9,390,,2,0.086,8.6,33.90%,33.9
APR THRU JUN,South,KENTUCKY,2017,3100,900,0.12,1,0.01,7000,,0.043,4.3,0.116,11.6,12,0.045,4.5,590,,8,0.049,4.9,25.70%,25.7
APR THRU JUN,West,OREGON,2016,19000,4300,0.03,9.9,0.099,77000,,0.167,16.7,0.145,14.5,3,0.026,2.6,16000,,12,0.06,6,52.70%,52.7
APR THRU JUN,Midwest,MINNESOTA,2021,29000,5500,0.06,,,69000,730,0.011,1.1,0,0,6,0.128,12.8,4000,,4,0.011,1.1,13.10%,13.1
APR THRU JUN,Midwest,NEBRASKA,2015,15500,4100,0.06,0,0,29000,,0.021,2.1,0.069,6.9,6,0.014,1.4,4600,,7,0.015,1.5,6.50%,6.5
JUL THRU SEP,Northeast,NEW JERSEY,2018,250,320,0.02,0.2,0.002,14000,,0.01,1,0.051,5.1,2,0.001,0.1,220,,2,0.004,0.4,12.30%,12.3
OCT THRU DEC,West,WASHINGTON,2018,5500,11000,0.14,11.7,0.117,75000,,0.033,3.3,0.005,0.5,14,0.049,4.9,1400,,2,0.013,1.3,34.50%,34.5
JAN THRU MAR,Northeast,VERMONT,2016,0,410,0.07,0.3,0.003,5500,,0.005,0.5,0,0,7,0,0,0,,0,0.017,1.7,1.30%,1.3
OCT THRU DEC,Northeast,CONNECTICUT,2018,0,220,0.06,2.3,0.023,3500,,0.042,4.2,0.036,3.6,6,0.009,0.9,60,,2,0.023,2.3,12.50%,12.5
JAN THRU MAR,South,SOUTH CAROLINA,2016,3200,3500,0.21,0.6,0.006,16500,,0.051,5.1,0.023,2.3,21,0.02,2,380,,2,0.048,4.8,10.70%,10.7
JUL THRU SEP,West,MONTANA,2016,4100,11500,0.07,7,0.07,147000,,0.061,6.1,0.088,8.8,7,0.069,6.9,6500,,4,0.014,1.4,41.90%,41.9
JUL THRU SEP,Northeast,CONNECTICUT,2021,140,120,0.03,0.7,0.007,4200,30,0.024,2.4,0.008,0.8,3,0.039,3.9,170,,4,0.059,5.9,16.40%,16.4
JUL THRU SEP,South,KENTUCKY,2021,900,1100,0.1,0.6,0.006,10500,150,0.012,1.2,0.182,18.2,10,,,740,,7,0.11,11,39.40%,39.4
OCT THRU DEC,Midwest,MINNESOTA,2017,1900,7000,0.07,4.2,0.042,98000,,0.072,7.2,0.04,4,7,0.398,39.8,450,,,0.031,3.1,62.90%,62.9
APR THRU JUN,South,MISSISSIPPI,2021,9500,4600,0.13,3.2,0.032,34000,310,0.032,3.2,0.113,11.3,13,0.005,0.5,8000,,23,0.099,9.9,46.70%,46.7
OCT THRU DEC,Midwest,MINNESOTA,2018,2500,11500,0.13,4.2,0.042,84000,,0.038,3.8,0.052,5.2,13,0.079,7.9,590,,1,0.024,2.4,28.40%,28.4
